DATE,NASDAQCOM
2008-10-16,1717.71
2008-10-17,1711.29
2008-10-20,1770.03
2008-10-21,1696.68
2008-10-22,1615.75
2008-10-23,1603.91
2008-10-24,1552.03
2008-10-27,1505.90
2008-10-28,1649.47
2008-10-29,1657.21
2008-10-30,1698.52
2008-10-31,1720.95
2008-11-03,1726.33
2008-11-04,1780.12
2008-11-05,1681.64
2008-11-06,1608.70
2008-11-07,1647.40
2008-11-10,1616.74
2008-11-11,1580.90
2008-11-12,1499.21
2008-11-13,1596.70
2008-11-14,1516.85
2008-11-17,1482.05
2008-11-18,1483.27
2008-11-19,1386.42
2008-11-20,1316.12
2008-11-21,1384.35
2008-11-24,1472.02
2008-11-25,1464.73
2008-11-26,1532.10
2008-11-27,.
2008-11-28,1535.57
2008-12-01,1398.07
2008-12-02,1449.80
2008-12-03,1492.38
2008-12-04,1445.56
2008-12-05,1509.31
2008-12-08,1571.74
2008-12-09,1547.34
2008-12-10,1565.48
2008-12-11,1507.88
2008-12-12,1540.72
2008-12-15,1508.34
2008-12-16,1589.89
2008-12-17,1579.31
2008-12-18,1552.37
2008-12-19,1564.32
2008-12-22,1532.35
2008-12-23,1521.54
2008-12-24,1524.90
2008-12-25,.
2008-12-26,1530.24
2008-12-29,1510.32
2008-12-30,1550.70
2008-12-31,1577.03
2009-01-01,.
2009-01-02,1632.21
2009-01-05,1628.03
2009-01-06,1652.38
2009-01-07,1599.06
2009-01-08,1617.01
2009-01-09,1571.59
2009-01-12,1538.79
2009-01-13,1546.46
2009-01-14,1489.64
2009-01-15,1511.84
2009-01-16,1529.33
2009-01-19,.
2009-01-20,1440.86
2009-01-21,1507.07
2009-01-22,1465.49
2009-01-23,1477.29
2009-01-26,1489.46
2009-01-27,1504.90
2009-01-28,1558.34
2009-01-29,1507.84
2009-01-30,1476.42
2009-02-02,1494.43
2009-02-03,1516.30
2009-02-04,1515.05
2009-02-05,1546.24
2009-02-06,1591.71
2009-02-09,1591.56
2009-02-10,1524.73
2009-02-11,1530.50
2009-02-12,1541.71
2009-02-13,1534.36
2009-02-16,.
2009-02-17,1470.66
2009-02-18,1467.97
2009-02-19,1442.82
2009-02-20,1441.23
2009-02-23,1387.72
2009-02-24,1441.83
2009-02-25,1425.43
2009-02-26,1391.47
2009-02-27,1377.84
2009-03-02,1322.85
2009-03-03,1321.01